Category,Language,Version,FileName,DirectLink
"OFFICE","Slovenian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Slovenian_MLF_X19-35849.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Slovenian_MLF_X19-35849.ISO?"
"OFFICE","Slovenian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Slovenian_MLF_X19-35766.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Slovenian_MLF_X19-35766.ISO?"
"OFFICE","Spanish","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Spanish_MLF_X19-35851.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Spanish_MLF_X19-35851.ISO?"
"OFFICE","Spanish","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Spanish_MLF_X19-35767.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Spanish_MLF_X19-35767.ISO?"
"OFFICE","Swedish","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Swedish_MLF_X19-35853.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Swedish_MLF_X19-35853.ISO?"
"OFFICE","Swedish","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Swedish_MLF_X19-35768.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Swedish_MLF_X19-35768.ISO?"
"OFFICE","Turkish","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Turkish_MLF_X19-35855.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Turkish_MLF_X19-35855.ISO?"
"OFFICE","Turkish","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Turkish_MLF_X19-35769.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Turkish_MLF_X19-35769.ISO?"
"OFFICE","Ukrainian","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Ukrainian_MLF_X19-35857.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Ukrainian_MLF_X19-35857.ISO?"
"OFFICE","Ukrainian","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Ukrainian_MLF_X19-35770.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Ukrainian_MLF_X19-35770.ISO?"
"OFFICE","Arabic","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Arabic_MLF_X19-36394.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Arabic_MLF_X19-36394.ISO?"
"OFFICE","Arabic","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_Arabic_MLF_X19-36366.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_Arabic_MLF_X19-36366.ISO?"
"OFFICE","Chinese - Simplified","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_ChnSimp_MLF_X19-36392.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_ChnSimp_MLF_X19-36392.ISO?"
"OFFICE","Chinese - Simplified","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_ChnSimp_MLF_X19-36364.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_ChnSimp_MLF_X19-36364.ISO?"
"OFFICE","Chinese - Traditional","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_ChnTrad_MLF_X19-36416.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_ChnTrad_MLF_X19-36416.ISO?"
"OFFICE","Chinese - Traditional","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_ChnTrad_MLF_X19-36388.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_ChnTrad_MLF_X19-36388.ISO?"
"OFFICE","Czech","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Czech_MLF_X19-36395.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Czech_MLF_X19-36395.ISO?"
"OFFICE","Czech","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_Czech_MLF_X19-36367.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_Czech_MLF_X19-36367.ISO?"
"OFFICE","Danish","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Danish_MLF_X19-36397.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Danish_MLF_X19-36397.ISO?"
